Date,Date.Regular.Freq,ffr_shock,fw_shock,lsap_shock,lsap_shock2,exchange.rate.open,exchange.rate.close,log.diff.exchange.rate,bmv.ipc.volume,bmv.ipc.open,bmv.ipc.close,log.diff.bmv.ipc,naftrac_open,naftrac_close,log.diff.naftrac,dcetes28,dcetes91,dcetes182,dcetes364
2005-06-30,2013-02-01,0.0757,0.989,0.6774,-0.6774,10.768,10.7775,8.818547367805962e-4,68321800,13550.75,13486.1298828125,-0.004780155144704423,13.53,13.48,-0.003702336698535813,0.005271999999999721,0.005487999999999715,-0.002651000000000181,-0.037623999999999214
2005-08-09,2013-03-01,0.213,-0.4931,0.0746,-0.0746,10.647,10.64,-6.576784189706864e-4,94569800,14597.080078125,14673.33984375,0.005210717056755243,14.65,14.67,0.0013642566918141696,0.007656000000000773,-0.023600000000000065,-0.02456699999999934,0.009292999999999552
2005-09-20,2013-04-01,0.7183,-0.2786,0.284,-0.284,10.818,10.8355,0.0016163672210129931,144740600,15656.83984375,15563.4697265625,-0.005981388195547055,15.75,15.56,-0.01213684652139646,-0.012420999999999793,-0.11711999999999989,-0.04560799999999965,-0.04889299999999963
2005-11-01,2013-05-01,0.0959,0.3896,0.1212,-0.1212,10.7575,10.77,0.0011613054376797827,161487800,15759.9296875,15922.51953125,0.010263806940582043,15.79,15.89,0.006313152281073986,-0.012158000000001223,-0.0335289999999997,0.07407300000000028,0.009675999999998908
2005-12-13,2013-06-01,0.0902,-0.2964,0.0319,-0.0319,10.656,10.618,-0.003572439636553515,112062400,17583.08984375,17819.6796875,0.013365811149975926,17.69,17.82,0.007321913870969254,-0.08836200000000005,-0.0906640000000003,-0.06155099999999969,-0.07656300000000016
2006-01-31,2013-07-01,0.2948,0.6753,-0.1081,0.1081,10.44,10.454,0.0013400978362376748,116017000,18850.7890625,18907.099609375,0.0029827191404745435,18.83,18.9,0.0037105793965355183,-0.0016400000000000858,-0.05352699999999988,-0.0015779999999994132,-0.013015999999999472
2006-03-28,2013-08-01,0.2454,1.1983,0.0782,-0.0782,10.984,10.9575,-0.00241551515484284,102567000,19212.669921875,18929.98046875,-0.014823019706279084,19.25,18.93,-0.016763095512561943,-0.01144600000000029,0.02955400000000008,0.019881999999999955,0.02123200000000036
2006-05-10,2013-09-01,0.2349,1.2488,0.1938,-0.1938,10.853,10.844,-8.296078274590002e-4,110335400,21822.9296875,21781.0703125,-0.0019199792614870148,21.9,21.75,-0.006872879287762146,-0.011369000000000185,0.008942000000000228,0.009235999999999578,-0.0015330000000002286
2006-06-29,2013-10-01,-0.04,-0.5808,-0.2383,0.2383,11.405,11.3715,-0.0029416305540199694,140748000,18133.6796875,18908.330078125,0.04183160441546363,18.5,18.98,0.025615061097502778,-0.001927000000000234,0.008912999999999727,-0.023004000000000246,-0.02459200000000017
2006-08-08,2013-11-01,-0.2635,-0.0312,-0.057,0.057,10.92,10.899,-0.0019249284095845809,102169200,20417.259765625,20342.779296875,-0.003654586863008902,20.4,20.43,0.001469507979360074,-0.001458999999999655,-0.011808000000000263,0.009233999999999298,-0.024620999999999782
2006-09-20,2013-12-01,-0.0251,0.6957,0.2287,-0.2287,10.9265,10.945,0.001691699646756195,144814400,21660.9296875,21841.44921875,0.00829934233280305,21.75,21.87,0.005502077153983542,-0.011529000000000345,0.008892999999999596,-0.022930999999999813,-0.00153499999999962
2006-10-25,2014-01-01,0.1407,-0.1804,0.2265,-0.2265,10.7965,10.7975,9.261831996987269e-5,107807600,23279.76953125,23397.689453125,0.0050525532151297625,23.34,23.38,0.0017123291855125622,0.008726999999999485,-0.0013980000000000103,-0.0014929999999999666,-0.0015460000000002694
2006-12-12,2014-02-01,0.2328,-0.9068,0.0488,-0.0488,10.8305,10.84,4.615526713522833e-4,83340800,25756.810546875,25828.48046875,0.002778697825622345,25.93,25.86,0.0027032262068615864,0.007308000000000092,0.0075310000000001764,0.01856900000000028,0.008539999999999992
2007-01-31,2014-03-01,0.1043,-0.0917,0.1182,-0.1182,11.0566,11.0249,-0.0028711837309143284,180003800,27136.720703125,27561.490234375,0.015531698861611432,27.2,27.61,0.014961052640111827,-0.0013810000000002987,-0.001438999999999524,-0.012246000000000201,0.02147699999999997
